"","cod_distrito","distrito_nombre","cod_canton","canton_nombre","provincia_nombre","n_years"
"378",50704,"Colorado",507,"Abangares","Guanacaste",11
"379",50801,"Tilarán",508,"Tilarán","Guanacaste",11
"380",50802,"Quebrada Grande",508,"Tilarán","Guanacaste",11
"381",50803,"Tronadora",508,"Tilarán","Guanacaste",11
"382",50804,"Santa Rosa",508,"Tilarán","Guanacaste",11
"383",50805,"Líbano",508,"Tilarán","Guanacaste",11
"384",50806,"Tierras Morenas",508,"Tilarán","Guanacaste",11
"385",50807,"Arenal",508,"Tilarán","Guanacaste",11
"386",50808,"Cabeceras",508,"Tilarán","Guanacaste",4
"387",50901,"Carmona",509,"Nandayure","Guanacaste",11
"388",50902,"Santa Rita",509,"Nandayure","Guanacaste",11
"389",50903,"Zapotal",509,"Nandayure","Guanacaste",11
"390",50904,"San Pablo",509,"Nandayure","Guanacaste",11
"391",50905,"Porvenir",509,"Nandayure","Guanacaste",11
"392",50906,"Bejuco",509,"Nandayure","Guanacaste",11
"393",51001,"La Cruz",510,"La Cruz","Guanacaste",11
"394",51002,"Santa Cecilia",510,"La Cruz","Guanacaste",11
"395",51003,"La Garita",510,"La Cruz","Guanacaste",11
"396",51004,"Santa Elena",510,"La Cruz","Guanacaste",11
"397",51101,"Hojancha",511,"Hojancha","Guanacaste",11
"398",51102,"Monte Romo",511,"Hojancha","Guanacaste",11
"399",51103,"Puerto Carrillo",511,"Hojancha","Guanacaste",11
"400",51104,"Huacas",511,"Hojancha","Guanacaste",11
"401",51105,"Matambú",511,"Hojancha","Guanacaste",7
"402",60101,"Puntarenas",601,"Puntarenas","Puntarenas",11
"403",60102,"Pitahaya",601,"Puntarenas","Puntarenas",11
"404",60103,"Chomes",601,"Puntarenas","Puntarenas",11
"405",60104,"Lepanto",601,"Puntarenas","Puntarenas",11
"406",60105,"Paquera",601,"Puntarenas","Puntarenas",11
"407",60106,"Manzanillo",601,"Puntarenas","Puntarenas",11
"408",60107,"Guacimal",601,"Puntarenas","Puntarenas",11
"409",60108,"Barranca",601,"Puntarenas","Puntarenas",11
"410",60111,"Cóbano",601,"Puntarenas","Puntarenas",11
"411",60112,"Chacarita",601,"Puntarenas","Puntarenas",11
"412",60113,"Chira",601,"Puntarenas","Puntarenas",11
"413",60114,"Acapulco",601,"Puntarenas","Puntarenas",11
"414",60115,"El Roble",601,"Puntarenas","Puntarenas",11
"415",60116,"Arancibia",601,"Puntarenas","Puntarenas",11
"416",60201,"Espíritu Santo",602,"Esparza","Puntarenas",11
"417",60202,"San Juan Grande",602,"Esparza","Puntarenas",11
"418",60203,"Macacona",602,"Esparza","Puntarenas",11
"419",60204,"San Rafael",602,"Esparza","Puntarenas",11
"420",60205,"San Jerónimo",602,"Esparza","Puntarenas",11
"421",60206,"Caldera",602,"Esparza","Puntarenas",9
"422",60301,"Buenos Aires",603,"Buenos Aires","Puntarenas",11
"423",60302,"Volcán",603,"Buenos Aires","Puntarenas",11
"424",60303,"Potrero Grande",603,"Buenos Aires","Puntarenas",11
"425",60304,"Boruca",603,"Buenos Aires","Puntarenas",11
"426",60305,"Pilas",603,"Buenos Aires","Puntarenas",11
"427",60306,"Colinas",603,"Buenos Aires","Puntarenas",11
"428",60307,"Chánguena",603,"Buenos Aires","Puntarenas",11
"429",60308,"Biolley",603,"Buenos Aires","Puntarenas",11
"430",60309,"Brunka",603,"Buenos Aires","Puntarenas",11
"431",60401,"Miramar",604,"Montes de Oro","Puntarenas",11
"432",60402,"La Unión",604,"Montes de Oro","Puntarenas",11
"433",60403,"San Isidro",604,"Montes de Oro","Puntarenas",11
"434",60501,"Puerto Cortés",605,"Osa","Puntarenas",11
"435",60502,"Palmar",605,"Osa","Puntarenas",11
"436",60503,"Sierpe",605,"Osa","Puntarenas",11
"437",60504,"Bahía Ballena",605,"Osa","Puntarenas",11
"438",60505,"Piedras Blancas",605,"Osa","Puntarenas",11
"439",60506,"Bahía Drake",605,"Osa","Puntarenas",11
"440",60601,"Quepos",606,"Quepos","Puntarenas",11
"441",60602,"Savegre",606,"Quepos","Puntarenas",11
